gtinUpc,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
38000014116,All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.42551
16000125421,Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.50954
38000262579,Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.17409
16000275362,Basic 4,G,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.03856
884912113139,Bran Flakes,P,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.31381
39222065085,Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.04285
16000348516,Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.765
16666141544,Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.82357
16000102132,Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.40021
16000161795,Cocoa Puffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,22.73645
16000487970,Corn Chex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,41.44502
38000001277,Corn Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.86332
38000181795,Corn Pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.78279
16000275836,Count Chocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,22.39651
38000045301,Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.44877
13130006125,Cream of Wheat (Quick),N,H,100,3,0,80,1,21,0,-1,0,2,1,1,64.53382
38000035302,Crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,46.89564
38000181719,Froot Loops,K,C,110,2,1,125,1,11,13,30,25,2,1,1,32.20758
38000199042,Frosted Flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,0.75,31.43597
38000319211,Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,0.8,58.34514
884912279934,Fruity Pebbles,P,C,110,1,1,135,0,13,12,25,25,2,1,0.75,28.02577
884912117625,Golden Crisp,P,C,100,2,0,45,0,11,15,40,25,1,1,0.88,35.25244
16000120259,Golden Grahams,G,C,110,1,1,280,0,15,9,45,25,2,1,0.75,23.80404
884912109101,Grape Nuts Flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,0.88,52.0769
884912004710,Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0.25,53.37101
884912006202,Honey Graham Ohs,Q,C,120,1,2,220,1,12,11,45,25,2,1,1,21.87129
16000141551,Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.07222
884912111715,Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1.33,28.74241
16000275676,Kix,G,C,110,2,1,260,0,21,3,40,25,2,1,1.5,39.24111
30000063545,Life,Q,C,100,4,2,150,2,12,6,95,25,2,1,0.67,45.32807
16000124998,Lucky Charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,26.73452
64144080328,Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.85092
30000566633,Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3,16,11,170,25,3,1,1,37.13686
16000401051,Multi-Grain Cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1,1,40.10597
16000275393,Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.45084
38000019128,Product 19,K,C,100,3,0,320,1,20,3,45,100,3,1,1,41.50354
30000061909,Puffed Rice,Q,C,50,1,0,0,0,13,0,15,0,3,0.5,1,60.75611
30000064108,Puffed Wheat,Q,C,50,2,0,0,1,10,0,50,0,3,0.5,1,63.00565
30000320730,Quaker Oat Squares,Q,C,100,4,1,135,2,14,6,110,25,3,1,0.5,49.51187
3000001180,Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,110,0,1,1,0.67,50.82839
38000596636,Raisin Bran,K,C,120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.2592
16000275294,Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034
16000431195,Rice Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.99893
38000318443,Rice Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,40.56016
884912180506,Shredded Wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.23589
38000119675,Smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,0.75,31.23005
38000016219,Special K,K,C,110,6,0,230,1,16,3,55,25,1,1,1,53.13132
16000116597,Total Raisin Bran,G,C,140,3,1,190,4,15,14,230,100,3,1.5,1,28.59279
16000175815,Total Whole Grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,46.65884
16000503670,Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.7533
16000275492,Wheat Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.78745
16000275652,Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,51.59219
