class,type,group,allergy,food
Plant origin,Nut and seed,Oil seed,Nut Allergy,ALMOND
Plant origin,Fruit,Pome fruit,Oral Allergy Syndrome,APPLE
Plant origin,Fruit,Stone fruit,Stone Fruit Allergy,APRICOT
Plant origin,Vegetable,Composite vegetable,Insulin Allergy,ARTICHOKE
Plant origin,Vegetable,Liliaceous vegetable,Allium Allergy,ASPARAGUS
Plant origin,Fruit,Tropical fruit,Oral Allergy Syndrome,AVOCADO
Plant origin,Vegetable,Miscellaneous vegetable,Histamine Allergy,BAMBOO SHOOT
Plant origin,Fruit,Tropical fruit,Banana Allergy,BANANA
Plant origin,Cereal grain and pulse,Cereal grain,Gluten Allergy,BARLEY
Plant origin,Cereal grain and pulse,Pulse,Legume Allergy,BEAN
Plant origin,Fruit,Berry,Salicylate Allergy,BLACKBERRY
Plant origin,Cereal grain and pulse,Pulse,Legume Allergy,BLACK-EYED BEAN
Plant origin,Fruit,Berry,Salicylate Allergy,BLUEBERRY
Animal origin,Aquatic animal,Fish,Histamine Allergy,BONITO
Plant origin,Cereal grain and pulse,Pulse,Legume Allergy,BROAD BEAN
Plant origin,Vegetable,Cruciferous vegetable,Broccoli allergy,BROCCOLI
Plant origin,Vegetable,Cruciferous vegetable,Cruciferous Allergy,BRUSSELS SPROUTS
Plant origin,Cereal grain and pulse,Cereal grain,Gluten Allergy,BUCKWHEAT
Plant origin,Vegetable,Composite vegetable,Ragweed Allergy,BURDOCK
Animal origin,Dairy,Dairy,Milk allergy / Lactose intolerance,BUTTER
Plant origin,Cereal grain and pulse,Pulse,Legume Allergy,BUTTER BEAN
Animal origin,Dairy,Dairy,Milk allergy / Lactose intolerance,BUTTERMILK
Plant origin,Vegetable,Mushroom,Mushroom Allergy,BUTTON MUSHROOM
Plant origin,Vegetable,Cruciferous vegetable,Cruciferous Allergy,CABBAGE
Plant origin,Nut and seed,Beverage seed,,CACAO BEAN
Plant origin,Oil,Oil,,CANOLA OIL
Plant origin,Vegetable,Umbelliferous vegetable,Hypersensitivity,CARROT
Animal origin,Dairy,Dairy,Milk allergy / Lactose intolerance,CASEIN
Animal origin,Terrestrial mammal,Offal,Alpha-gal Syndrome,CATTLE
